ID,type,typeNum,region,regionNum,province,provinceNum,district,postalCode,localityType,bedroomCount,netHabitableSurface,condition,conditionNum,bathroomCount,showerRoomCount,toiletCount,hasLift,fireplaceExists,hasSwimmingPool,hasAirConditioning,hasGarden,gardenSurface,hasTerrace,terraceSurface,price
10680208,APARTMENT,2,Brussels,1,Brussels,1,Brussels,1020,2,2.0,90.0,UNKNOWN,0,1.0,0.0,1.0,1,0,0,0,0,0.0,1,3.0,235000.0
10680214,HOUSE,1,Flanders,2,East Flanders,3,Gent,9000,1,2.0,60.0,AS_NEW,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,290000.0
10680216,APARTMENT,2,Flanders,2,West Flanders,6,Kortrijk,8500,3,2.0,160.0,UNKNOWN,0,1.0,0.0,0.0,1,0,0,0,0,0.0,1,50.0,408120.0
10680212,APARTMENT,2,Wallonie,3,Hainaut,7,Charleroi,6180,4,2.0,86.0,AS_NEW,1,0.0,1.0,1.0,0,0,0,0,0,0.0,0,0.0,190000.0
10680226,APARTMENT,2,Wallonie,3,Hainaut,7,Charleroi,6180,4,2.0,85.0,AS_NEW,1,0.0,1.0,1.0,0,0,0,0,0,0.0,0,0.0,205000.0
10680232,APARTMENT,2,Wallonie,3,Hainaut,7,Charleroi,6180,4,2.0,90.0,AS_NEW,1,0.0,1.0,1.0,0,0,0,0,0,0.0,0,0.0,205000.0
10680223,APARTMENT,2,Wallonie,3,Hainaut,7,Charleroi,6180,4,2.0,87.0,UNKNOWN,0,0.0,1.0,1.0,0,0,0,0,0,0.0,0,0.0,195000.0
10680235,APARTMENT,2,Wallonie,3,Hainaut,7,Charleroi,6180,4,2.0,86.0,AS_NEW,1,0.0,1.0,1.0,0,0,0,0,0,0.0,0,0.0,195000.0
10680240,HOUSE,1,Flanders,2,West Flanders,6,Ieper,8978,4,4.0,199.0,TO_BE_DONE_UP,4,1.0,0.0,1.0,0,0,0,0,0,0.0,0,0.0,178000.0
10680241,HOUSE,1,Flanders,2,Flemish Brabant,4,Halle-Vilvoorde,1950,4,3.0,209.0,GOOD,3,2.0,0.0,3.0,0,0,0,0,0,0.0,1,0.0,645000.0
10680243,HOUSE,1,Wallonie,3,Walloon Brabant,11,Nivelles,1330,4,3.0,110.0,UNKNOWN,0,1.0,1.0,1.0,0,0,0,0,1,150.0,1,10.0,375000.0
10680246,HOUSE,1,Wallonie,3,Hainaut,7,Ath,7950,4,5.0,250.0,GOOD,3,1.0,1.0,2.0,0,0,0,0,0,0.0,1,0.0,250000.0
10680253,HOUSE,1,Wallonie,3,Luxembourg,9,Marche-en-Famenne,6960,4,3.0,120.0,UNKNOWN,0,1.0,1.0,2.0,0,0,0,0,1,380.0,1,0.0,270000.0
10680251,HOUSE,1,Wallonie,3,Liège,8,Liège,4460,4,2.0,75.0,UNKNOWN,0,1.0,1.0,2.0,0,0,0,0,1,38.0,0,0.0,159900.0
10680254,HOUSE,1,Wallonie,3,Luxembourg,9,Marche-en-Famenne,6980,4,3.0,170.0,GOOD,3,1.0,1.0,2.0,0,0,0,0,1,1193.0,1,0.0,398000.0
10680255,APARTMENT,2,Wallonie,3,Walloon Brabant,11,Nivelles,1380,4,4.0,200.0,AS_NEW,1,2.0,1.0,2.0,0,0,0,0,1,100.0,1,0.0,569000.0
10418112,APARTMENT,2,Brussels,1,Brussels,1,Brussels,1080,2,2.0,75.0,TO_BE_DONE_UP,4,1.0,0.0,1.0,0,0,0,0,0,0.0,0,0.0,198000.0
10680267,APARTMENT,2,Wallonie,3,Hainaut,7,Charleroi,6061,2,2.0,87.0,AS_NEW,1,1.0,1.0,1.0,0,0,0,0,0,0.0,1,7.0,195000.0
10680266,HOUSE,1,Flanders,2,Antwerp,2,Mechelen,2500,3,3.0,165.0,GOOD,3,2.0,0.0,0.0,0,0,0,0,1,450.0,1,40.0,524000.0
10680270,APARTMENT,2,Flanders,2,East Flanders,3,Aalst,9300,3,1.0,74.0,UNKNOWN,0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,0.0,248900.0
10680274,HOUSE,1,Flanders,2,Antwerp,2,Turnhout,2340,4,4.0,321.0,GOOD,3,2.0,0.0,3.0,0,1,1,0,1,0.0,1,0.0,499000.0
10680277,APARTMENT,2,Flanders,2,Antwerp,2,Turnhout,2320,4,1.0,65.0,GOOD,3,0.0,1.0,1.0,0,1,0,0,1,0.0,1,0.0,275000.0
10680278,APARTMENT,2,Flanders,2,East Flanders,3,Dendermonde,9200,3,4.0,162.0,JUST_RENOVATED,2,1.0,0.0,0.0,0,0,0,0,1,146.0,0,0.0,335000.0
10680279,HOUSE,1,Wallonie,3,Luxembourg,9,Arlon,6791,4,3.0,201.0,UNKNOWN,0,1.0,0.0,1.0,0,0,0,0,0,0.0,1,0.0,269000.0
10680281,HOUSE,1,Flanders,2,West Flanders,6,Roeselare,8840,4,3.0,180.0,TO_BE_DONE_UP,4,0.0,0.0,2.0,0,0,0,0,0,0.0,0,0.0,249500.0
