ID,type,region,province,district,postalCode,localityType,bedroomCount,netHabitableSurface,condition,epcScore,bathroomCount,showerRoomCount,toiletCount,hasLift,fireplaceExists,hasSwimmingPool,hasAirConditioning,hasGarden,hasTerrace,gardenSurface,terraceSurface,land,price
10661647,HOUSE,Flanders,West Flanders,Roeselare,8800,3,2.0,85.0,GOOD,D,1.0,0.0,0.0,0,0,0,0,1,0,82.0,0.0,128.0,209000.0
10661651,APARTMENT,Flanders,West Flanders,Oostend,8420,4,1.0,32.0,GOOD,D,1.0,0.0,1.0,1,0,0,0,0,0,0.0,0.0,0.0,82900.0
10661652,HOUSE,Wallonie,Hainaut,Soignies,7090,2,2.0,130.0,GOOD,F,1.0,0.0,2.0,0,1,0,0,1,1,140.0,30.0,246.0,200000.0
10661653,APARTMENT,Wallonie,Hainaut,Soignies,7090,2,3.0,170.0,GOOD,E,1.0,0.0,2.0,1,1,0,0,0,1,0.0,5.0,0.0,250000.0
10661655,HOUSE,Flanders,Limburg,Hasselt,3510,4,2.0,245.0,AS_NEW,UNKNOWN,2.0,0.0,2.0,0,0,0,0,1,1,0.0,0.0,601.0,464900.0
10661660,APARTMENT,Flanders,Antwerp,Antwerp,2000,1,2.0,117.0,UNKNOWN,UNKNOWN,1.0,0.0,1.0,1,1,0,0,0,1,0.0,19.0,0.0,595000.0
10661661,APARTMENT,Flanders,West Flanders,Brugge,8000,1,3.0,112.0,UNKNOWN,UNKNOWN,1.0,0.0,2.0,0,1,0,0,0,1,0.0,7.0,0.0,317616.0
10661662,APARTMENT,Flanders,West Flanders,Brugge,8000,1,2.0,90.0,UNKNOWN,UNKNOWN,1.0,0.0,2.0,0,1,0,0,0,1,0.0,7.0,0.0,280612.0
10661677,APARTMENT,Flanders,West Flanders,Brugge,8000,1,2.0,88.0,UNKNOWN,UNKNOWN,1.0,0.0,1.0,1,1,0,0,0,1,0.0,7.0,0.0,283626.0
10661687,APARTMENT,Wallonie,Hainaut,Charleroi,6061,2,1.0,69.0,GOOD,E,1.0,1.0,1.0,0,0,0,0,0,1,0.0,0.0,0.0,160000.0
10661696,HOUSE,Flanders,West Flanders,Kortrijk,8790,4,3.0,295.0,TO_BE_DONE_UP,E,2.0,0.0,2.0,0,1,0,0,0,1,0.0,0.0,1500.0,695000.0
10661691,HOUSE,Flanders,East Flanders,Gent,9000,1,3.0,128.0,GOOD,E,1.0,0.0,2.0,0,1,0,0,0,1,0.0,49.0,127.0,548000.0
10661698,HOUSE,Flanders,Antwerp,Antwerp,2018,2,6.0,342.0,TO_BE_DONE_UP,D,1.0,0.0,0.0,0,0,0,0,0,1,0.0,0.0,175.0,750000.0
10661695,HOUSE,Flanders,East Flanders,Gent,9840,4,3.0,120.0,UNKNOWN,F,1.0,0.0,1.0,0,1,0,0,0,0,0.0,0.0,866.0,365000.0
10661699,HOUSE,Wallonie,Liège,Liège,4102,3,4.0,135.0,JUST_RENOVATED,D,2.0,2.0,2.0,0,0,0,0,0,1,0.0,40.0,105.0,210000.0
10661702,HOUSE,Wallonie,Namur,Namur,5060,2,4.0,160.0,GOOD,F,1.0,1.0,2.0,0,0,0,0,1,1,180.0,8.0,320.0,240000.0
10661708,APARTMENT,Flanders,Antwerp,Antwerp,2170,4,2.0,100.0,TO_BE_DONE_UP,B,1.0,0.0,1.0,1,1,0,0,0,1,0.0,14.0,0.0,199000.0
10661705,APARTMENT,Brussels,Brussels,Brussels,1040,2,2.0,76.0,AS_NEW,B,1.0,0.0,1.0,0,0,0,0,0,1,0.0,3.0,0.0,449000.0
10530642,APARTMENT,Flanders,Antwerp,Antwerp,2610,4,2.0,83.0,GOOD,E,1.0,0.0,1.0,0,1,0,0,0,0,0.0,0.0,0.0,229000.0
10661735,HOUSE,Flanders,East Flanders,Gent,9080,2,1.0,111.0,UNKNOWN,E,1.0,0.0,1.0,0,0,0,0,1,1,0.0,0.0,613.0,299000.0
10661738,HOUSE,Flanders,West Flanders,Oostend,8450,4,3.0,180.0,GOOD,B,1.0,0.0,2.0,0,0,0,0,1,1,90.0,90.0,225.0,360000.0
10661736,APARTMENT,Flanders,West Flanders,Oostend,8400,3,1.0,60.0,GOOD,C,1.0,0.0,1.0,1,0,0,0,1,1,60.0,60.0,0.0,225000.0
10661743,HOUSE,Flanders,West Flanders,Brugge,8000,1,4.0,180.0,UNKNOWN,B,0.0,0.0,2.0,0,0,0,0,0,0,0.0,0.0,600.0,479000.0
10661745,HOUSE,Flanders,West Flanders,Brugge,8380,4,2.0,174.0,UNKNOWN,C,1.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,160.0,329000.0
10661757,APARTMENT,Brussels,Brussels,Brussels,1050,2,3.0,146.0,AS_NEW,UNKNOWN,1.0,1.0,2.0,1,0,0,0,0,1,0.0,30.0,0.0,629000.0
10661744,APARTMENT,Flanders,West Flanders,Veurne,8630,4,2.0,87.0,GOOD,B,1.0,0.0,1.0,0,0,0,0,1,0,10.0,0.0,0.0,199000.0
10661752,HOUSE,Flanders,West Flanders,Brugge,8310,4,3.0,196.0,GOOD,D,0.0,0.0,2.0,0,0,0,0,0,1,0.0,0.0,430.0,350000.0
10661751,HOUSE,Flanders,Flemish Brabant,Halle-Vilvoorde,1853,4,5.0,433.0,TO_BE_DONE_UP,B,4.0,0.0,0.0,0,0,0,0,0,1,0.0,0.0,355.0,895000.0
10661746,HOUSE,Flanders,East Flanders,Eeklo,9990,4,3.0,175.0,TO_RENOVATE,F,1.0,0.0,1.0,0,0,0,0,1,0,0.0,0.0,766.0,345000.0
10661755,HOUSE,Flanders,West Flanders,Brugge,8000,1,2.0,75.0,GOOD,D,1.0,0.0,2.0,0,0,0,0,0,0,0.0,0.0,40.0,249000.0
