ID,type,subtype,region,province,district,locality,localityType,postalCode,address,latitude,longitude,condition,constructionYear,price,pricePerMeter,bedroomCount,netHabitableSurface,floor,floorCount,hasLift,facadeCount,hasGarden,gardenSurface,hasTerrace,terraceSurface,land,kitchen,bathroomCount,showerRoomCount,toiletCount,fireplaceExists,hasSwimmingPool,hasAirConditioning,parkingCountIndoor,parkingCountOutdoor,parkingCountClosedBox,primaryEnergyConsumptionPerSqm,epcScore,hasDoubleGlazing,saleType
10629931,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,Antwerp,1,2000,"Entrepotkaai 2,7.2",51.2292228,4.4114419,AS_NEW,2021.0,615000.0,9462.0,1.0,65.0,7.0,9.0,True,4.0,,,True,,,HYPER_EQUIPPED,1.0,0.0,1.0,False,,,1.0,1.0,,43.0,A,True,
10629926,APARTMENT,APARTMENT,Flanders,East Flanders,Aalst,Aalst,3,9300,Parklaan 31,50.9318283,4.0443038,,1966.0,799000.0,3995.0,4.0,200.0,4.0,13.0,True,4.0,,,True,10.0,,INSTALLED,2.0,0.0,3.0,True,,,2.0,,,234.0,C,True,
10629933,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,Antwerp,2,2018,Belgiëlei 111,51.205302,4.4178652,GOOD,,156000.0,3250.0,1.0,48.0,3.0,8.0,True,2.0,,,,,,SEMI_EQUIPPED,1.0,0.0,,False,,,,,,221.0,C,,
10629946,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,Aartselaar,4,2630,Leugstraat 48,51.1317002,4.3793904,GOOD,,249000.0,2008.0,3.0,124.0,2.0,2.0,False,3.0,,,True,,,USA_INSTALLED,1.0,0.0,,False,False,,,,,487.0,E,True,
10629952,APARTMENT,APARTMENT,Flanders,West Flanders,Brugge,Knokke-Heist,3,8301,"Leeuwerikenlaan 9,2.2",51.3447947,3.2662948,AS_NEW,2007.0,1995000.0,13571.0,4.0,147.0,2.0,4.0,True,3.0,,,True,,,USA_HYPER_EQUIPPED,2.0,0.0,2.0,False,False,,1.0,,,150.0,B,,
10629953,APARTMENT,GROUND_FLOOR,Flanders,West Flanders,Brugge,Knokke-Heist,3,8300,Zwinlaan 27-31,51.3590718,3.3222582,AS_NEW,1967.0,2685000.0,27969.0,3.0,96.0,0.0,5.0,True,2.0,,,True,,,USA_HYPER_EQUIPPED,2.0,0.0,2.0,False,False,,,1.0,,226.0,C,True,
10629943,APARTMENT,GROUND_FLOOR,Flanders,Antwerp,Antwerp,Rumst,4,2840,Antwerpsestraat 33,51.108552,4.3695448,AS_NEW,2013.0,240000.0,,1.0,,0.0,,True,,True,97.0,True,,,INSTALLED,1.0,0.0,1.0,False,False,,,1.0,,124.54,B,,
10629951,APARTMENT,APARTMENT,Brussels,Brussels,Brussels,Anderlecht,2,1070,Rue Jakob Smits 105,50.8423715,4.3051843,GOOD,,195000.0,2438.0,2.0,80.0,2.0,4.0,True,,,,,,,INSTALLED,1.0,0.0,1.0,False,,,1.0,,,151.0,D,True,
10629954,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,Brasschaat,4,2930,Bredabaan 324,51.2918582,4.4936871,GOOD,1990.0,425000.0,3484.0,2.0,122.0,4.0,,True,2.0,,,True,91.0,,USA_HYPER_EQUIPPED,1.0,0.0,,False,False,,,,,219.0,C,True,
10236755,HOUSE,APARTMENT_BLOCK,Brussels,Brussels,Brussels,Bruxelles,1,1000,Rue Antoine Dansaert 156-158,50.8523879,4.3428264,GOOD,,1420000.0,2171.0,10.0,654.0,,,False,2.0,,,True,,175.0,,9.0,0.0,,False,,,,,,277.0,F,,
10629977,APARTMENT,DUPLEX,Flanders,East Flanders,Aalst,Ninove,3,9406,Brakelsesteenweg 166,50.8343817,3.9984139,GOOD,2006.0,530000.0,3655.0,3.0,145.0,1.0,2.0,False,,,,True,15.0,,,1.0,0.0,2.0,False,,,,,,125.0,B,True,
10630002,APARTMENT,APARTMENT,Brussels,Brussels,Brussels,Uccle,4,1180,,,,,1947.0,265000.0,3487.0,2.0,76.0,1.0,3.0,,,,,True,6.0,,INSTALLED,1.0,0.0,,True,,,1.0,,,593.0,G,True,
10630000,APARTMENT,DUPLEX,Wallonie,Liège,Waremme,Geer,4,4250,Rue Emile Lejeune 12,50.6692554,5.173357,AS_NEW,2005.0,240000.0,2087.0,2.0,115.0,1.0,2.0,False,3.0,True,225.0,True,,,INSTALLED,1.0,0.0,1.0,False,False,,,1.0,,269.0,D,,
10630018,APARTMENT,APARTMENT,Flanders,East Flanders,Aalst,Denderleeuw,4,9470,Van Lierdestraat 14a,50.8936986,4.0732033,GOOD,2007.0,195000.0,2143.0,2.0,91.0,2.0,,True,,,,True,,,,1.0,0.0,1.0,False,,,,,,88.0,A,True,
10630001,APARTMENT,DUPLEX,Wallonie,Liège,Waremme,Waremme,3,4300,,,,AS_NEW,2005.0,240000.0,2087.0,2.0,115.0,1.0,2.0,False,3.0,True,225.0,True,18.0,,INSTALLED,1.0,0.0,1.0,False,False,,,1.0,,269.0,D,,
10498948,APARTMENT,LOFT,Brussels,Brussels,Brussels,Bruxelles,1,1000,Rue Stevin - Stevinstraat 54,50.8455771,4.3774956,,1890.0,345000.0,3710.0,2.0,93.0,3.0,2.0,False,2.0,,,True,25.0,,USA_INSTALLED,1.0,1.0,1.0,False,False,False,,,,196.0,D,True,
10498968,HOUSE,HOUSE,Flanders,Flemish Brabant,Halle-Vilvoorde,Halle,3,1500,Cypriaan Verhavertstraat 42,50.7390698,4.2329334,TO_BE_DONE_UP,1915.0,268000.0,1956.0,3.0,137.0,,,False,2.0,,,True,,230.0,INSTALLED,1.0,0.0,1.0,False,False,,,,,714.0,F,True,
10630052,APARTMENT,APARTMENT,Brussels,Brussels,Brussels,Uccle,4,1180,,,,TO_BE_DONE_UP,1976.0,420000.0,4000.0,2.0,105.0,3.0,4.0,True,4.0,,,True,50.0,,INSTALLED,2.0,0.0,1.0,False,False,,,,,235.0,E,True,
10630024,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Halle-Vilvoorde,Kampenhout,4,1910,,,,GOOD,1980.0,289000.0,3905.0,2.0,74.0,2.0,,False,,,,True,5.0,,,1.0,0.0,1.0,False,False,,1.0,1.0,,338.0,D,True,
10630047,HOUSE,HOUSE,Brussels,Brussels,Brussels,Uccle,4,1180,Rue Meyerbeer 87,50.8145182,4.3429496,,,1245000.0,3819.0,5.0,326.0,,,,,,,,,0.0,,2.0,1.0,4.0,True,,,,,,,,,
10630075,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,Antwerp,1,2000,"Guldenberg 6,17",51.2245874,4.3997681,GOOD,,590000.0,3073.0,3.0,192.0,0.0,,True,2.0,,,,,,INSTALLED,2.0,0.0,,False,False,,,1.0,,188.0,B,True,
10630079,APARTMENT,PENTHOUSE,Flanders,Antwerp,Antwerp,Kapellen,4,2950,Marktplein 10,51.3115762,4.4248742,AS_NEW,2021.0,439000.0,5046.0,2.0,87.0,3.0,,True,3.0,,,True,25.0,,,1.0,0.0,,False,False,,,1.0,,,,True,
10630085,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,Antwerp,1,2000,,,,JUST_RENOVATED,1968.0,599000.0,3744.0,2.0,160.0,2.0,5.0,True,,,,True,25.0,,USA_HYPER_EQUIPPED,1.0,1.0,1.0,False,False,,,,,147.0,B,True,
10630084,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,Antwerp,1,2000,,,,AS_NEW,,345000.0,4929.0,1.0,70.0,2.0,,,,,,,,,,1.0,0.0,,False,,,,,,,,,
10630055,APARTMENT,DUPLEX,Wallonie,Namur,Namur,Jambes,3,5100,,,,GOOD,,275000.0,2183.0,3.0,126.0,3.0,4.0,,2.0,,,True,10.0,,,1.0,0.0,2.0,False,,,1.0,1.0,,344.0,E,True,
10630076,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,Wommelgem,4,2160,Torenstraat 68,51.2065077,4.5272878,GOOD,,267500.0,3147.0,2.0,85.0,3.0,3.0,False,3.0,,,,,,INSTALLED,1.0,0.0,,False,False,,,,,153.0,B,,
10499080,HOUSE,HOUSE,Wallonie,Walloon Brabant,Nivelles,Orp-Jauche,4,1350,Rue de Libertange 5,50.715016,4.9926864,GOOD,1980.0,395000.0,1975.0,4.0,200.0,,,,4.0,True,25.0,True,100.0,3030.0,INSTALLED,1.0,0.0,1.0,False,,,1.0,6.0,,439.0,F,True,
10499166,HOUSE,APARTMENT_BLOCK,Wallonie,Hainaut,Charleroi,Courcelles,4,6180,Rue Jules Destrée 28,50.464208,4.3294316,AS_NEW,1960.0,195000.0,1300.0,3.0,150.0,,,False,2.0,,,True,25.0,200.0,USA_SEMI_EQUIPPED,3.0,3.0,3.0,False,False,,,,,320.0,D,True,
10499107,APARTMENT,APARTMENT,Brussels,Brussels,Brussels,Molenbeek-St-Jean,2,1080,Avenue Jean Dubrucq 81,50.8659573,4.3358283,GOOD,,320000.0,1798.0,4.0,178.0,0.0,,,,,,,,,INSTALLED,,0.0,,False,,,,,,360.0,G,True,
10630281,APARTMENT,APARTMENT,Flanders,Antwerp,Mechelen,Lier,3,2500,"Botertonstraat 6, 7",51.1438357,4.5767275,AS_NEW,2015.0,255000.0,3110.0,2.0,82.0,2.0,2.0,True,3.0,,,True,10.0,,INSTALLED,1.0,0.0,1.0,True,,,1.0,,,84.0,A,True,
10630398,APARTMENT,APARTMENT,Brussels,Brussels,Brussels,Uccle,4,1180,Rue De Boetendael - Boetendaelstraat 108,50.8122373,4.342639,AS_NEW,,288000.0,4431.0,1.0,65.0,2.0,3.0,True,3.0,,,True,5.0,,USA_HYPER_EQUIPPED,1.0,0.0,1.0,False,False,False,,,,,,True,
10630409,APARTMENT,APARTMENT,Wallonie,Namur,Namur,Namur,3,5100,Avenue Gouverneur Bovesse 17,50.4569909,4.8723644,,1970.0,265000.0,,3.0,,1.0,,True,2.0,,,,,,USA_HYPER_EQUIPPED,1.0,0.0,,False,False,False,,,,159.0,B,True,
10630402,APARTMENT,APARTMENT,Brussels,Brussels,Brussels,Woluwe-Saint-Lambert,3,1200,,50.83905,4.421645,,2016.0,725000.0,,3.0,,3.0,,,,,,True,13.0,,INSTALLED,2.0,2.0,,False,,,2.0,2.0,,,,True,
10630413,APARTMENT,APARTMENT,Wallonie,Walloon Brabant,Nivelles,Louvain-La-Neuve,4,1348,"rue de la Micheline 3,2",50.668081,4.6118324,AS_NEW,2023.0,430000.0,5119.0,2.0,84.0,0.0,,True,,,,True,30.0,,USA_HYPER_EQUIPPED,1.0,0.0,1.0,False,,,1.0,1.0,,77.0,A,True,
